ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001193125-26-135334	2884976	Class C Google Stock Units	F7			59820.0				D			
0001193125-26-135334	2884975	Class C Google Stock Units	F6			28578.0				D			
0001193125-26-135314	2885479	Common Unit				366766.0				D		See footnote	F6
0001193125-26-135314	2885480	General Partnership Unit				622296.0				I			
0000950103-26-005134	2885367	Common Stock				203615.0	F1			D			
0001193125-26-135307	2885395	Class M Common Stock				5406586.0				I		By BD Investment Holdings II LLC	F2
0001213900-26-037857	2885498	Class B Ordinary Share				3500000.0				I		Held by PLOUTOS GROUP LIMITED (BVI)	F1
0001140361-26-012433	2884968	Class A Common Stock, par value $0.01 per share				134877.0				D			
0001193125-26-135284	2885391	ADS	F1			65802.0				D			
0001193125-26-135283	2885247	ADS	F1			345547.0				D			
0001193125-26-135258	2885399	Class C Google Stock Units	F1			262.0				D			
0001193125-26-135258	2885402	Class C Google Stock Units	F4			1683.0				D			
0001193125-26-135258	2885401	Class C Google Stock Units	F3			1147.0				D			
0001193125-26-135258	2885400	Class C Google Stock Units	F2			954.0				D			
0001213900-26-037813	2885194	Ordinary Shares				17516.0				D			
0002125577-26-000001	2885003	CLASS B ORDINARY SHARE				2200000.0				D			
0002125577-26-000001	2885001	CLASS A ORDINARY SHARE				7020000.0				I		INTEGRATED INTELLIGENCE INVESTMENT LIMITED	
0002125577-26-000001	2885002	CLASS B ORDINARY SHARE				3510000.0				I		INTEGRATED INTELLIGENCE INVESTMENT LIMITED	
0001104659-26-038036	2885473	American Depositary Shares	F1			80608.0				I		By ESOP	
0001437749-26-010779	2885350	Common Stock				3788.0				I		By 401(k) plan.	
0001437749-26-010778	2885398	Common Stock				108630.25	F3			I		By Trust	
0001437749-26-010778	2885397	Common Stock				16986.0	F2			I		By limited liability company	
0001437749-26-010778	2885396	Common Stock				13053.94				I		By 401(k) plan	
0001437749-26-010777	2885178	Common Stock				856929.0				I		See Footnote	F6
0001437749-26-010777	2885179	Common Stock				42765.85	F7			I		By 401(k)	
0001437749-26-010777	2885174	Common Stock				1307766.0				I		By trust	F2
0001437749-26-010777	2885175	Common Stock				153470.0				I		By NexPoint Advisors, L.P.	F3
0001437749-26-010777	2885176	Common Stock				409063.0				I		See Footnote	F4
0001437749-26-010777	2885177	Common Stock				15090.0				I		See Footnote	F5
0001104659-26-038031	2884916	Common Stock				423155.0				D			
0001104659-26-038031	2884915	Common Stock				36928.0				I		See Footnote	F4
0001193125-26-135216	2885136	Class A Common Stock				235115.0				I			
0001193125-26-135216	2885134	Class A Common Stock				11094612.0				I		Bessemer Venture Partners Century Fund Institutional L.P.	F3, F4, F2
0001193125-26-135216	2885133	Class A Common Stock				9225192.0				I		Bessemer Venture Partners VIII Institutional L.P.	F3, F4, F2
0001193125-26-135216	2885132	Class A Common Stock				7700.0	F1			D		Bessemer Venture Partners VIII L.P.	F3, F4, F2
0001193125-26-135216	2885135	Class A Common Stock				1483570.0				I		Bessemer Venture Partners Century Fund L.P.	F3, F4, F2
0001104659-26-038027	2885531	Series B Shares				132.0				D			
0001104659-26-038022	2885125	Series B Shares				12000.0	F1			D			
0000947871-26-000369	2885146	Common Shares				22783.0				D			
0001213900-26-037783	2884919	Class C ordinary shares				500000.0				I			
0001213900-26-037783	2884918	Class A ordinary shares				375.0				D		See Footnote	F1, F2
0001213900-26-037782	2885186	Class A ordinary shares				3500.0				D		See Footnote	F1, F2
0001213900-26-037782	2885187	Class C ordinary shares				500000.0				I			
0001193125-26-135199	2885095	Common Stock				3054235.0	F1			D			
0001292814-26-002037	2885015	Class A Common Shares				3718313.0	F1			I		By Corporation	
0001292814-26-002037	2885014	Class A Common Shares				862441.0				D		By Corporation	
0001292814-26-002037	2885016	Class B Common Shares				120459508.0	F1			I			
0000921895-26-000858	2885560	Common Stock, $0.50 par value	F1			560091.0				D		By The Radoff Family Foundation	F2
0000921895-26-000858	2885561	Common Stock, $0.50 par value	F1			560090.0				I			
0001193125-26-135180	2885322	Common Stock, Par Value $0.01				6277.0	F1			D			
0001493152-26-014408	2885027	Ordinary Shares				2400.0				D			
0001104659-26-038004	2884936	Ordinary Shares				2286150.0				I		By James Noble	F1
0001104659-26-037983	2885410	Ordinary Shares	F2			37500.0	F3			D			
0001104659-26-037983	2885411	Ordinary Shares	F2			37500.0	F4			D			
0001104659-26-037983	2885412	Ordinary Shares	F2			40000.0	F5			D			
0001104659-26-037978	2885315	Class A Common Stock				16840.0				D	F7		
0002086541-26-000008	2885212	Common Stock				21235.0	F1			D			
0001104659-26-037958	2884999	Ordinary Shares	F1			114427.0				I		By Brilliant Fashion Holdings Limited	
0001104659-26-037953	2885559	Class B Units				252405.0				I		By Knutsen NYK Offshore Tankers AS	F1
0001104659-26-037953	2885558	Series A Preferred Units				208333.0				I		By Knutsen NYK Offshore Tankers AS	F1
0001104659-26-037953	2885556	Common Units				9661255.0				I		By Knutsen NYK Offshore Tankers AS	F1
0001104659-26-037953	2885557	Common Units				90368.0				I		By KNOT Offshore Partners GP LLC	F1
0001577526-26-000036	2885327	Class A Common Stock				28000.0				I		See Footnote	F3
0001733285-26-000006	2885485	Common Stock				76750.0				I		By Trust	F2
0001733285-26-000006	2885486	Common Stock				10417.0				I		By Spouse IRA	
0001733285-26-000006	2885484	Common Stok				59250.0				I		By Trust	F1
0000891166-26-000032	2885013	Common Stock				48000.0				I		By Children	
0000891166-26-000032	2885012	Common Stock				2000.0				I		By Spouse	
0000891166-26-000031	2885404	Common Stock				19136.0				D			
0001071739-26-000088	2885409	Common Stock				32000.0				I		By family trust	F2
